FIPS,Mask_Usage_NEVER,Mask_Usage_RARELY,Mask_Usage_SOMETIMES,Mask_Usage_FREQUENTLY,Mask_Usage_ALWAYS,Mask_Usage_Combined,Count_Less_HighSchool,Count_HighSchool,Count_Less_College,Count_Higher_College,Percent_Less_HighSchool,Percent_HighSchool,Percent_Less_College,Percent_Higher_College,Trump_Win,Biden_Win,Unemployment_2019_Value,Poverty_Estimates_Value,Population_Density,COVID_Average_Confirmed,COVID_Average_Death,Crime_per_100K,Series_Complete_Pop_Pct,Change_in_Movement,Intouch_users_Proportion,COVID_Essential_Workers_pct_essential,Total_Federal_Investment,COVID_Hospital_Occupancy_Rate,COVID_Hospital_All_Beds,COVID_Average_Testing,Total_Population,Urban_Population,Rural_Population,Percent_Rural,Updated_Change_in_Movement
51089,0.063,0.085,0.132,0.154,0.566,4.012,"7,537","12,957","12,069","5,268",0.19899999999999998,0.342,0.319,0.139,1,0,3.3,7277,52.09423569,7.276923076923077,0.05384615384615385,357.2989718,14.9,-0.02646,0.21107,0.5691390794811438,5099788.83,NA,NA,84.07692307692308,"54,151","21,270","32,881",0.607,0.018886923076923075
51091,0.059,0.041,0.103,0.197,0.599,4.174,215,725,511,422,0.115,0.387,0.273,0.225,1,0,2.7,271,2.059023667,0,0,45.14672686,51.3,NA,NA,0.5194508009153318,NA,NA,NA,0.36923076923076925,"2,321",0,"2,321",1,NA
51093,0.039,0.055,0.059,0.277,0.569,4.24,"3,182","7,345","8,651","7,107",0.121,0.27899999999999997,0.32899999999999996,0.27,1,0,2.8,3351,44.48767262,3.3923076923076922,0.05384615384615385,137.4242764,15.6,-0.06620153846153846,0.18783461538461538,0.4693522107983595,NA,NA,NA,58.176923076923075,"35,270","15,030","20,240",0.574,-0.0017946153846153945
51095,0.006,0.008,0.005,0.231,0.75,4.705,"2,672","9,674","14,650","27,426",0.049,0.17800000000000002,0.26899999999999996,0.504,0,1,2.7,4366,201.1067399,6.530769230769231,0.05384615384615385,99.26825118,8,-0.020653846153846155,0.19517846153846155,0.351340206185567,NA,0.43310038848834415,203,188.1923076923077,"67,009","56,387","10,622",0.159,-0.08988692307692309
51097,0.007,0.041,0.149,0.191,0.612,4.353,620,"1,938","1,430","1,234",0.11900000000000001,0.371,0.27399999999999997,0.23600000000000002,1,0,2.8,820,8.639625114,0.2846153846153846,0,98.17671809,27.2,NA,NA,0.5124223602484472,NA,NA,NA,10.292307692307693,"6,945",0,"6,945",1,NA
51099,0.151,0.044,0.086,0.053,0.666,3.888,"1,172","4,607","5,338","6,246",0.067,0.265,0.307,0.36,1,0,2.6,1553,55.66270872,0.46923076923076923,0,92.27312846,13.7,-0.08145692307692308,0.21585923076923078,0.3817833907386146,NA,NA,NA,31.084615384615386,"23,584","6,323","17,261",0.732,-0.1524823076923077
51101,0.012,0.072,0.201,0.169,0.546,4.1530000000000005,912,"3,944","4,230","2,417",0.079,0.34299999999999997,0.368,0.21,1,0,2.7,1179,23.25252503,1,0.12307692307692307,86.97272784,31.7,-0.09755692307692308,0.16921846153846154,0.4333695783496436,NA,NA,NA,21.876923076923077,"15,935","2,675","13,260",0.8320000000000001,NA
51103,0.001,0.022,0.121,0.178,0.678,4.509,829,"2,646","2,429","2,717",0.096,0.307,0.282,0.315,1,0,4.3,1383,31.2942736,0.23846153846153847,0,71.76175099,33.3,0.011481818181818182,0.15250454545454545,0.4935551910007031,NA,0.2390685,60,16.453846153846154,"11,391",0,"11,391",1,NA
51105,0.107,0.135,0.072,0.104,0.582,3.8119999999999994,"4,188","6,205","5,597","2,015",0.233,0.345,0.311,0.11199999999999999,1,0,4.1,5939,21.4025546,0.6384615384615384,0,138.9716101,39.1,-0.004849230769230769,0.22525846153846155,0.5872773536895675,NA,NA,NA,42.738461538461536,"25,587",112,"25,475",0.996,6.06923076923077e-4
51107,0.014,0.012,0.038,0.173,0.763,4.645,"15,519","31,378","51,134","155,565",0.061,0.124,0.20199999999999999,0.613,0,1,2.3,12909,288.317756,35.56923076923077,0.9692307692307692,84.36308729,46.8,-0.13988,0.20911230769230768,0.24269388020893895,4050229,0.1975,815,543.2384615384615,"312,311","272,957","39,354",0.126,-0.16342384615384614
51109,0.025,0.045,0.036,0.146,0.748,4.522,"3,873","8,575","7,464","6,308",0.14800000000000002,0.327,0.285,0.24100000000000002,1,0,2.7,3559,27.53357204,1.4538461538461538,0.05384615384615385,120.7836206,3.1,-0.04473153846153846,0.18118692307692308,0.4659578324170845,NA,NA,NA,53.246153846153845,"33,153",0,"33,153",1,-0.04003076923076923
51111,0.068,0.006,0.134,0.143,0.649,4.231,"1,995","3,626","2,347","1,016",0.222,0.40399999999999997,0.261,0.113,1,0,3.2,2140,10.98115119,0.7307692307692308,0,199.5689311,33.7,-0.1410253846153846,0.18142769230769232,0.6498272884283247,NA,NA,NA,24.084615384615383,"12,914",0,"12,914",1,NA
51113,0.017,0.097,0.064,0.154,0.668,4.3420000000000005,"1,335","3,476","2,530","2,240",0.139,0.363,0.264,0.23399999999999999,1,0,2.2,1224,15.82158638,0.2846153846153846,0,83.33333333,41.6,-0.014840769230769234,0.19182846153846153,0.4687298517085751,NA,NA,NA,23.784615384615385,"13,308",0,"13,308",1,NA
51115,0.001,0.001,0.049,0.19,0.76,4.709,656,"2,132","2,202","1,929",0.095,0.308,0.318,0.27899999999999997,1,0,2.9,766,39.5327671,0.08461538461538462,0,89.91794987,46.5,NA,NA,0.5420273666573583,NA,NA,NA,18.06923076923077,"8,978",0,"8,978",1,NA
51117,0.063,0.022,0.128,0.14,0.648,4.228,"4,103","7,220","6,814","4,583",0.18100000000000002,0.318,0.3,0.20199999999999999,1,0,4,5137,19.04720888,1.2692307692307692,0.2153846153846154,184.560555,11.1,-0.004792307692307693,0.1781923076923077,0.5351996706463565,NA,0.3,165,48.19230769230769,"32,727","7,262","25,465",0.778,-0.05617769230769231
